60.0;2498.0;186.0;fr;122.0;Paris;C0DEED;29775.0;Paris;7200.0;3119.0
5503.0;152.0;972.0;ja;35.0;Tokyo;0.0;17038.0;Tokyo;32400.0;1775.0
6175.0;572.0;648.0;fr;165.0;"Paris 11ème";0.0;3096.0;Paris;7200.0;1853.0
0.0;10883.0;7883.0;es;18.0;Mundo;0.0;547811.0;Caracas;-14400.0;488.0
0.0;285.0;4432.0;en;1.0;"New York, NY";C0DEED;2000.0;"Pacific Time (US & Canada)";-25200.0;864.0
642.0;26680.0;3121.0;es;388.0;Madrid;FFFFFF;36539.0;Europe/Madrid;7200.0;1484.0
1594.0;460.0;296.0;fr;9.0;"Sarah ";FFFFFF;25590.0;Athens;10800.0;1948.0
1189.0;61536.0;498.0;es;261.0;"ÜT: 11.428909,-69.665984";FFFFFF;104677.0;Hawaii;-36000.0;2638.0
1846.0;1397.0;1170.0;en;100.0;"TO via MAN,Oakville,UW,AUS,YYC";FFFFFF;25356.0;"Eastern Time (US & Canada)";-14400.0;2121.0
10.0;1015.0;371.0;en;192.0;U.S.A.;A8C7F7;291645.0;"Pacific Time (US & Canada)";-25200.0;1768.0
0.0;10590.0;7489.0;es;34.0;Mundo;0.0;619085.0;Caracas;-14400.0;1219.0
148110.0;2924.0;99.0;fr;101.0;"ლ(ಠ益ಠლ)  paypal.me/Elesge";FFFFFF;250895.0;Amsterdam;7200.0;1868.0
102858.0;2528.0;907.0;fr;44.0;"Amiens, France";0.0;146360.0;Paris;7200.0;1628.0
9048.0;5803.0;2931.0;pt;5.0;"Snap: bradsimpsonbr";0.0;27065.0;"Pacific Time (US & Canada)";-25200.0;403.0
1.0;39056.0;35633.0;es;93.0;Mundo;0.0;684564.0;Caracas;-14400.0;740.0
2299.0;91.0;129.0;en;1.0;"Fucking Mars";0.0;1428.0;Sarajevo;7200.0;1676.0
33481.0;330.0;271.0;en;2.0;PH;FFFFFF;20132.0;Beijing;28800.0;1479.0
4536.0;224.0;93.0;fr;19.0;"Raftel ";0.0;15404.0;Athens;10800.0;1527.0
2035.0;4834.0;3176.0;fr;26.0;"Rouen, France";0.0;1747.0;Paris;7200.0;429.0
0.0;35.0;0.0;fr;35.0;London;EEEEEE;3110.0;Paris;7200.0;2763.0
166.0;1825.0;722.0;fr;307.0;"Toulouse, France";0.0;419035.0;Paris;7200.0;1613.0
0.0;14929.0;11699.0;es;44.0;Mundo;0.0;560313.0;Caracas;-14400.0;832.0
2.0;6.0;7.0;fr;0.0;|-/;C0DEED;153.0;"Pacific Time (US & Canada)";-25200.0;65.0
25.0;2022.0;501.0;en;388.0;"Toronto, Ontario";C0DEED;1031226.0;"Pacific Time (US & Canada)";-25200.0;2678.0
54864.0;500.0;213.0;en;15.0;|-/;0.0;53094.0;Berlin;7200.0;971.0
1568.0;2677.0;1202.0;fr;452.0;Paris;FFFFFF;20696.0;Greenland;-7200.0;2222.0
2164.0;102.0;249.0;fr;1.0;"New Orleans, LA";FFFFFF;8775.0;Paris;7200.0;1259.0
952.0;12166.0;5210.0;en;639.0;"Mahwah, NJ, USA";FFFFFF;11970.0;"Eastern Time (US & Canada)";-14400.0;3027.0
