48844.0;900.0;902.0;en;6.0;lalaland;0.0;1481.0;Riyadh;10800.0;1.0;0.0;0.0;0.0;0.0;1306.0
188.0;907.0;986.0;es;4.0;"1d - zara";0.0;16205.0;Santiago;-14400.0;1.0;0.0;0.0;0.0;0.0;909.0
2833.0;399.0;357.0;es;5.0;"11 de Septiembre";0.0;21138.0;Amsterdam;7200.0;1.0;1.0;0.0;0.0;0.0;2380.0
960.0;95.0;175.0;de;0.0;H0L7;0.0;2316.0;Bern;7200.0;0.0;0.0;0.0;0.0;0.0;417.0
6302.0;744.0;535.0;es;22.0;"En un lugar llamado mundo";FFFFFF;33630.0;Athens;10800.0;1.0;1.0;0.0;0.0;0.0;1712.0
14794.0;1783.0;370.0;en;28.0;Somewhere;FFFFFF;88389.0;London;3600.0;1.0;0.0;0.0;0.0;0.0;1314.0
254.0;2636.0;1773.0;en;43.0;"Köln, Deutschland";FFFFFF;45753.0;Berlin;7200.0;1.0;0.0;0.0;0.0;0.0;2556.0
6447.0;1285.0;1717.0;en;6.0;"Johore, Malaysia";FFFFFF;35466.0;"Kuala Lumpur";28800.0;1.0;1.0;0.0;0.0;0.0;1716.0
423.0;2982.0;2009.0;en;43.0;"Champions League";FFFFFF;103160.0;Beijing;28800.0;1.0;1.0;0.0;0.0;0.0;1632.0
1194.0;1215.0;287.0;en;5.0;Portugal;FFFFFF;10595.0;Amsterdam;7200.0;1.0;0.0;0.0;0.0;0.0;1944.0
34415.0;5368.0;653.0;en;22.0;"mEtRo MaNiLa";C0DEED;54962.0;"Pacific Time (US & Canada)";-25200.0;1.0;1.0;0.0;1.0;0.0;1015.0
3237.0;1346.0;412.0;en;31.0;"Manchester ";0.0;7643.0;Amsterdam;7200.0;0.0;1.0;0.0;0.0;0.0;1524.0
20633.0;989.0;639.0;en;6.0;"England, United Kingdom";DBE9ED;34593.0;London;3600.0;1.0;0.0;0.0;0.0;0.0;2012.0
11189.0;9553.0;5725.0;es;54.0;"|| Michelle || ";FFFFFF;39162.0;Greenland;-7200.0;1.0;1.0;0.0;0.0;0.0;2119.0
9629.0;3269.0;4524.0;pt;32.0;madrid;0.0;78809.0;"Buenos Aires";-10800.0;1.0;1.0;0.0;0.0;0.0;1043.0
23616.0;2464.0;270.0;fr;37.0;"Emile Milla Pépettes Calijah";C0DEED;72298.0;"Pacific Time (US & Canada)";-25200.0;1.0;1.0;0.0;1.0;0.0;622.0
13700.0;1473.0;983.0;en;17.0;"MILANO//HK ";0.0;29892.0;Belgrade;7200.0;1.0;1.0;0.0;0.0;0.0;926.0
12655.0;489.0;779.0;pt;1.0;"Stratford, Ontario";0.0;6033.0;"Pacific Time (US & Canada)";-25200.0;0.0;1.0;0.0;0.0;0.0;240.0
5719.0;162.0;88.0;en;1.0;Bangtanland;0.0;5220.0;"Pacific Time (US & Canada)";-25200.0;0.0;1.0;0.0;0.0;0.0;1164.0
7139.0;3452.0;1463.0;es;19.0;"Beacon Hills  [vampedivas]";FFFFFF;79841.0;Athens;10800.0;1.0;0.0;0.0;0.0;0.0;1974.0
6218.0;705.0;513.0;en;3.0;"Istanbul ";FFFFFF;20856.0;Istanbul;10800.0;1.0;1.0;0.0;0.0;0.0;1499.0
26706.0;948.0;341.0;en;4.0;"Jinyoungs Heart";0.0;25100.0;"Pacific Time (US & Canada)";-25200.0;0.0;1.0;0.0;0.0;0.0;1764.0
